"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Force Average [N·m]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,330698.0112608458,301992.34041989426,286881.71302577644,238155.59443973153,227551.24799891363,235083.965763516,220768.3805174358,211503.0630068223,204585.4969928254,212579.16833044312,199786.80013819656,189451.73588706367
[8.0-8.5),,,,,,,,,,346637.30852988036,322846.5541963965,293051.41888093855,277387.00835149846,232814.41551064764,217084.13804841728,228948.71235003945,215951.33399139668,204934.09378472468,198025.71353836422,202525.67153789397,193264.29965790184,180090.38705983156
[7.5-8.0),,,,,,,,,,334309.3931083092,313339.07263164426,288725.6212741327,270109.4539102091,222820.8222912393,211330.76650550615,222347.24943170193,208338.0827580656,202439.36394940765,185356.56991529086,195048.01154695105,183623.48762351,176335.655758596
[7.0-7.5),,,,,,,,,,324180.37119605567,300842.9619965699,275957.42006937944,260948.68932725288,216192.69543414158,207060.2932695594,218738.67678834446,203201.2034040178,192865.37600148402,181114.3790867529,184212.705348894,177603.4834734609,165697.769236396
[6.5-7.0),,,,,,,,,,313481.39687935566,287041.04121121473,265809.5887403646,248671.11619717337,210431.7385290071,196596.93587411544,208305.52454652468,195676.40176800895,182804.18308285542,172380.34048884304,179920.4717508893,167990.22037360392,165529.84883914288
[6.0-6.5),,,,,,,,,405798.10567022813,298261.7947709659,279087.3293636616,256609.4330768497,243986.87163360853,205394.55404075902,189887.41399097283,197408.18663448116,186737.08766764615,176803.76486506968,166581.82568667308,167786.14889785368,164497.54824782262,154601.47047317156
[5.5-6.0),,,,,,,,,385546.1890424848,297418.5901275124,262558.2654240276,246920.8644828788,233146.56358973487,196425.30452158823,182759.7649694755,191135.43442513366,180163.55541141043,169539.3484754124,160677.19621382392,163015.37502885732,153967.86225828814,148149.6943315144
[5.0-5.5),,,,,,,,480312.33923711564,367122.9960542816,273289.4121454052,256645.93490305578,240226.1507548459,218247.3753212039,186560.76233366676,176053.58677617717,182222.90848384248,168570.16037757145,163366.95349973545,151575.44590343715,158363.8487513452,149924.91165485466,139764.86679398647
[4.5-5.0),,,,,,,,446536.2624464276,345475.07357394317,263812.69346371957,239867.2052981269,228486.72240983287,210982.7312084243,177381.8633497083,166205.80881965454,169031.89152464128,164345.14610230576,150498.77756479572,141977.3762072071,146212.32976546625,137794.64751365432,132707.09834142882
[4.0-4.5),,,,,,,472405.6589862549,401066.6711759307,319855.74499343184,248853.0656214452,227474.85669364728,213044.00584569728,201950.07026007999,169018.37230731282,156956.93835756645,161509.24476883168,150853.62086268121,139668.6448698968,134788.82311862308,140331.31938833251,128597.05066240267,124983.27188104067
[3.5-4.0),,,,,,492132.21758672775,420057.8570176402,361581.1736767261,288637.6563857757,230816.66611455125,214470.5136846616,196872.35229702087,181921.33398865288,159381.35649508607,147331.31717227996,151433.37937689383,139462.35165275645,130077.29524765429,124758.90402099407,128553.97682694414,121665.71430925808,111645.24549558345
[3.0-3.5),,,,,,434744.312279886,372910.54769810435,319118.8921977814,256208.04186975586,205627.2601519419,192263.82891030022,180862.33274066504,169192.884286634,143009.5079586649,133818.54890119375,139492.80787980685,130513.63199647257,120606.43165428328,113409.89254856261,114789.35481956601,107713.91565563725,104087.16522367428
[2.5-3.0),,,,,,362661.2754970797,317030.1326200508,276575.0000338711,228531.90416798857,179835.01885496665,172510.85192763063,157454.49516119127,151591.37186583155,127207.10387473358,119769.05745084299,121815.8958972334,115029.70722277796,105405.11711060369,103159.03757643032,104817.49519051971,95921.39537040304,91331.0753462235
[2.0-2.5),,,,,331837.534058473,301645.47206287074,259702.6786023017,228151.38295666376,189893.07622991165,159325.73986479396,146512.94715891068,138621.1926981137,129816.78708123504,110192.30228642008,106249.03663250017,102397.38974445224,99498.9871869219,92575.04497277754,89626.63092847844,90420.87392074267,84144.03242404514,79719.70432051274
[1.5-2.0),,,,280071.4167684113,259069.40116591065,235757.00360042442,205790.32969877383,180297.4450872788,155073.58636933914,125953.6005375766,118477.57851957798,109153.24699930148,105836.9677600442,91220.21715723634,86281.62100705586,85535.14784659521,83624.27256572696,77505.97108856557,73440.41275029127,72961.65502297004,67476.60483043257,63203.119830245836
[1.0-1.5),,,188254.10932322062,200716.54579998917,186675.24408903145,169081.5507926605,146174.76591155826,131467.51574599498,107815.48665668252,91956.85392398715,87966.57602546677,84894.9407313007,81655.72333256694,70558.90151737699,66434.16305967524,66387.26445866952,61974.40900153224,58047.31585316247,54588.25308874315,53173.27123842695,51842.45873996891,48102.13139705252
[0.5-1.0),,77270.19830317171,112036.48692566257,120554.57836348299,111250.8442231595,100856.72753488511,89210.56960474611,78989.69402542255,68550.35799857425,58691.491168853834,55420.59418665556,53223.7010430519,50350.21441745174,45190.084509389104,41567.892819774715,41532.69049274957,39364.41790119472,36869.41187777671,34664.83366843138,33713.598046533414,31055.152687991966,30254.559159939425
[0.0-0.5),13188.58527334837,25646.982058006393,37884.92341077612,40103.97891002986,37652.95196107662,34189.417514617,29798.756263327978,26696.60082369601,23471.70215250722,20019.556871043285,19085.635145344808,17480.632059950014,17008.44033837188,15456.82303854388,15124.285066884444,14197.363584745764,13372.663405252892,12409.409154007406,12005.515134715573,11750.878701016863,10855.409545604336,10313.327341296477
