"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Maximum [W]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,26841898.739182223,34863635.68240825,25789824.520481773,44386568.07888079,23552289.06653042,37743550.76121761,14358770.928022174,18417669.714145266,29745125.701478347,19687033.914542977,10892350.192979788,12732025.641866425
[8.0-8.5),,,,,,,,,,32924611.470277045,24052542.47997331,24352785.87665938,23342100.13396659,22341509.719368033,17716446.51876584,16258323.189175162,14188205.034327842,21277364.69575944,20670382.691683363,13260316.333671808,7339163.781921131,18841610.01228498
[7.5-8.0),,,,,,,,,,38560617.96825322,22801946.72874102,13570770.59882755,23438541.12771729,16334323.068740549,23681284.875103638,19156144.3752577,20113625.808728274,20871690.82133053,11222821.722882956,10768207.859983739,6843393.292312335,9958647.392733905
[7.0-7.5),,,,,,,,,,15034404.739345927,22108910.27716281,18536169.224454224,20879412.61514485,13165796.640297897,17794284.56842791,10239783.559747538,16672284.803489538,20120743.687856574,9800800.475067299,6677750.348497704,5920941.468836156,8089446.549811277
[6.5-7.0),,,,,,,,,,21610747.794357132,23266874.711509388,14055452.006630689,11805677.18026299,16660673.128704563,10859104.521467105,8013929.774993004,11411732.19639936,9739478.24803639,7631179.288208242,9458179.134052733,5976735.927054832,9181304.76444635
[6.0-6.5),,,,,,,,,18353618.52062977,4284840.452244818,17895072.656788386,12852499.078204792,10290163.71341088,9470224.841415111,18778296.67562859,7697386.609710771,7225228.529428648,6889757.326462222,10639881.718468245,3555057.881991827,5754242.730885226,3553564.9227047614
[5.5-6.0),,,,,,,,,17301799.898809317,8175081.4186170865,17922329.765516356,9952023.921668144,2293069.032276653,10412544.814671338,8409810.020344416,3963625.388227297,3435379.739509807,7280210.241248148,6458739.576281546,6335784.039472431,5778316.666200924,5025445.063989674
[5.0-5.5),,,,,,,,4412986.642147509,3382066.088987565,2692046.4114451553,12687277.7211302,2259486.626912335,8832236.862889694,1331888.2346716581,1247348.7345683728,2567198.745129455,943208.7564662165,1041569.5275761979,820321.4690333442,670232.2734098934,3311715.6421941896,659157.5960636672
[4.5-5.0),,,,,,,,2810577.726087981,3667070.498792266,2866387.636160307,2010578.7365295764,1606602.7202280294,1531681.4456238255,1180731.8599434819,1306599.3553591399,1030781.0516326078,718561.8111411135,662796.0182757647,1215909.0176277037,578545.5051151067,584410.9178348689,2692532.509145946
[4.0-4.5),,,,,,,2722580.424385764,2946819.1935326764,2415456.7772215568,2453184.4345110883,2233694.315494025,1209797.4067844874,1271425.0036503575,1006863.7704908528,1224807.3239653714,1001680.6871085294,648032.7389194483,718706.3784404737,637211.9973055891,528415.6154254308,329396.4616299269,420065.47545269097
[3.5-4.0),,,,,,2669976.9265870294,2825394.3362354185,1753145.2174664356,1848517.7218929264,1680980.4224408723,1242149.017881183,1160634.4486621511,1129743.2023405447,1011707.8934102524,613189.6853277788,602507.5354909172,650020.2001498665,604342.8441708514,540216.7187104797,335870.43504120153,360950.24521650904,325700.80959650886
[3.0-3.5),,,,,,1541036.7434153087,1791800.6047212048,1625915.6484354832,1666701.5410381933,1226271.612543817,857811.4037517912,823587.2076547218,612575.0018753947,602348.3737945852,601750.3141788434,501529.4747271764,382848.2862545262,445983.6961453716,358690.22819942463,338697.25559387245,431886.8350142741,239839.8296382039
[2.5-3.0),,,,,,1554185.3695979028,1450639.7607815913,1278273.608743895,1213127.8713804472,869282.5480514672,722118.5321531733,582196.5482170141,613294.0721545358,604035.6376852614,515163.08157892845,441674.72649368213,331507.9011778318,276118.77246941585,283453.1795955077,296960.25112900446,241840.93218112463,250550.44079370963
[2.0-2.5),,,,,778296.6261902207,862309.4624016677,932057.8807146568,863029.5064985551,1024345.1713893345,652839.2365087821,865377.086770155,552088.7386828383,432478.3157172814,314779.9110546301,319861.2272841323,268516.6956259685,329830.92701063346,283060.33166547556,245527.4068690086,210201.5036402308,211420.082375679,142760.48010305708
[1.5-2.0),,,,582837.9291043136,636420.1372511047,526536.3436922304,491038.97879287775,700449.7426086616,813357.9817320495,412320.74602704385,340027.11439614237,282890.68674184795,294569.23857439595,233780.20520234157,330544.5384806576,182086.48009552454,156197.62379423235,172641.750684003,152322.21871642856,137150.5834702864,118855.04942215087,114865.39719499403
[1.0-1.5),,,221495.94476764658,266398.55882608314,288405.44570244325,321658.4026920872,301479.95062342216,291675.16531079274,290352.5056619201,323691.5908739334,258526.91631673268,156979.14684291728,212528.15422735742,144430.13361407391,143445.1372097999,119646.97904828642,110732.11467115798,109173.47792473967,72227.13494946726,62598.949652918236,60243.8668653453,53374.54661758256
[0.5-1.0),,62618.68909599965,99990.66952172577,125570.25241567908,114649.63801295137,135449.135835959,144785.00001203918,92398.90400105114,122751.3172021442,88702.10323563487,93492.4674864894,107494.69400453157,60100.15253073034,82091.47961665687,65293.328585682844,60837.29067103276,43959.50166942623,33707.63445613136,28422.280814051355,25082.644538358953,28511.26559574027,27362.877369960213
[0.0-0.5),2300.4943689305646,5648.265594793923,10404.494013384725,10691.794070313177,16615.510206439885,12902.820286277707,12311.28025541519,14598.140758091673,13408.693451859635,12763.86917985038,11778.19403519503,12162.696913394175,12543.641704917909,9768.589818755996,10307.598504286843,5846.330777560077,6007.457144453733,5218.5774350743195,3911.98602383694,4613.893196021442,3279.2581542433695,3737.8322899871155
