"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Maximum Constraint Surge Force [N]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,11196823.96541379,11605811.886453928,10897660.466468468,18904730.204234637,10372230.644241152,13373750.243239658,5950057.136941701,6987210.300911425,10000332.637047475,6117757.608776589,3985850.682489681,4004230.7051747316
[8.0-8.5),,,,,,,,,,13374326.373651022,10524099.52707941,11296376.276738746,9639070.057627903,9969320.503152374,7925244.079054098,6332247.822637128,5594070.835475862,6722289.109179365,7929473.78858805,5216678.480230023,3098890.365561532,6095812.7361385785
[7.5-8.0),,,,,,,,,,14455532.885354484,9671563.384955317,6059460.802300774,10761796.89352123,8588014.518464535,10821765.582867455,7841722.535724119,7288415.27643101,7752228.481945508,3772616.902942339,3969957.135836379,3107914.0342154945,3395313.121040651
[7.0-7.5),,,,,,,,,,6993514.006671263,9387269.323711814,8601263.204318698,8422096.676457085,6856533.791318094,7188334.919896661,4507582.613840733,5916831.996277795,8020831.3349499935,3841501.1467625513,3139498.0934794983,2559506.8930186313,3279374.0457652793
[6.5-7.0),,,,,,,,,,9847054.81053582,10286483.950176317,6042708.729886848,5843801.892567371,8250589.135731271,6117408.724565838,4072433.2519394434,5206592.542250363,4807492.850191419,3636771.9484832436,4455980.535196051,2740150.308634892,3463220.30411081
[6.0-6.5),,,,,,,,,6109158.521903789,2797236.008128171,8277338.903887379,5688614.563314833,4677168.340737837,5540690.87580216,7483588.56149372,3703123.617641383,3943414.6385116405,3553102.473498909,5135623.658834886,1808324.7768499837,2596010.3391733617,1639572.9949771753
[5.5-6.0),,,,,,,,,6541786.619619386,4225616.568285085,7495522.696021253,4804205.696540972,1764581.6220006677,5673695.445895051,4550105.6634201845,2189058.8600185527,1921864.8015200486,3748223.915260873,3302871.7011719123,2537984.9452595604,2949456.4964062627,2742597.491786596
[5.0-5.5),,,,,,,,2099861.262420809,1834888.2814158476,1940281.5730463814,5345283.604970159,1802874.8562866058,4566790.458655452,1433556.9108270349,1288263.1256738775,1314227.7928189025,1077434.3261773717,1139961.9981495433,1023370.120108979,962466.3537882108,1894324.9113768288,909248.1257679323
[4.5-5.0),,,,,,,,1479588.7001577385,2184148.870969933,2097782.780486878,1583698.065340966,1367617.4917597575,1337142.3462589309,1221859.873726322,1263047.9844487654,1127828.6586132026,1156338.9080759054,985458.2006436496,1205763.4009870416,885896.2865594011,866366.4689217836,1587077.820890977
[4.0-4.5),,,,,,,1384985.3969729207,1370576.0972764464,1428545.6854541465,1769322.2268222515,1615260.0959977182,1225055.925667408,1236018.5161242923,1130447.018330153,1320477.4537557494,1085219.064179918,922927.340164228,1061676.848122471,882040.414639424,921676.3699117405,735958.4092605419,678328.6807013708
[3.5-4.0),,,,,,1364080.9504380543,1310419.0634803446,952672.4824543435,1152262.0047354233,1326738.937331486,1100887.3555532533,1181632.687375362,1070902.6214136463,1068302.7813957338,869421.4152708796,875721.9627355795,919332.1034613819,999303.6271053918,738422.3322254133,645170.4345004568,809414.2628345314,681817.5546828371
[3.0-3.5),,,,,,978087.502293139,978150.4626653565,934894.4661363607,1009982.7888194155,1095004.506674629,890203.72516287,1092101.2768812287,805140.836852228,914865.0764781326,840970.9410319554,713056.4219782967,824063.6522029066,635602.2003165833,645800.4406398344,564517.2382157263,677914.7330427901,517866.8664994665
[2.5-3.0),,,,,,954198.1164357538,789830.449889266,827234.828508754,948739.5207433281,1030166.371358213,866377.9227137413,779535.053634096,774420.1406286545,783493.8248369053,718971.3003929281,609622.6139985961,709860.9873233082,615709.4508583844,583112.062778983,544679.6305750697,448205.5426139794,484893.9740120851
[2.0-2.5),,,,,695930.4860386761,713601.8776799418,628774.0223094528,611738.1982169894,895682.2115598008,815757.5152676433,873629.5516882926,648081.8591531382,581153.7011990314,684179.57768385,531228.6712908453,572108.0996873591,654775.6000945906,487921.52317709546,518018.43425058236,394667.15393083653,422650.7313743312,321511.6969459134
[1.5-2.0),,,,671570.5087585788,645218.7298416407,542397.4521703739,476638.46518117766,514177.89901669277,651934.2400929201,566790.1381561003,482734.10756474367,465448.3327462622,482520.0835419479,492096.8401308635,527898.9748150175,418984.0238552342,314602.0408496702,376111.34554973175,381126.79288515844,320208.66090473504,271460.39442702814,281883.12037643424
[1.0-1.5),,,397160.92637776345,448209.23694152496,439371.37082700443,426853.0784585208,373041.74537241826,350356.9712305102,320312.44179592014,362410.4532712107,331715.84061891993,320069.5168493433,366662.34742502903,297558.8753123933,296887.2278657998,294026.44114893983,262962.9289275694,217955.3294863437,200788.08044073044,172929.94377781585,188919.92216287722,165204.9245820616
[0.5-1.0),,162227.7651771601,270258.1832128221,305319.71469702356,268792.41481623775,274940.63159564487,249791.2264846812,176815.2095746618,187633.22238855544,150235.21576965053,173106.28841629974,216118.866915644,158998.7917023315,180698.57772581017,167417.00848520285,148349.7009625682,133020.76532329066,114652.84591587508,123508.25428581401,113376.32048561706,98277.8508714984,118728.88704107214
[0.0-0.5),23045.70563936357,51728.27488854389,85383.18441107366,88270.23732048957,99861.2267476978,84245.15344478787,72481.80290046312,68495.4629674698,60331.0108899699,52109.12147725953,57698.27421899569,53215.359944322256,52987.76005260163,54550.979750977785,51962.956533570235,43249.39750491782,42459.727142150274,47311.30703580468,34566.35795895128,39193.08871483628,39403.466527337776,38421.074221987335
