"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Velocity Average [radian/s]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,-0.045634660552073165,-0.04112692454924898,-0.029160669286260293,-0.04656273441172263,-0.04807692451470356,-0.04658373932386795,-0.03184114752203964,-0.04952247921224337,-0.05726764107139295,-0.05709472813213525,-0.048431756895133654,-0.03212510542870042
[8.0-8.5),,,,,,,,,,-0.039150217764577416,-0.041247936714523044,-0.03233006530529104,-0.02514001264551913,-0.035203855999207244,-0.035298249499143425,-0.023694623844964534,-0.030590569213155058,-0.03528865013715775,-0.028055606860878504,-0.0221824547970381,-0.03100462615570787,-0.032322832608064754
[7.5-8.0),,,,,,,,,,-0.014964856007019816,-0.027947492062808308,-0.02034493362371929,-0.022268710697439346,-0.01609089806488082,-0.013068884112263904,-0.026292796873115823,-0.023290506931888832,-0.026501223622758533,-0.014463561865436474,-0.02502783490393638,-0.0264792023253417,-0.020753530493600333
[7.0-7.5),,,,,,,,,,-0.013411768634910285,-0.003012181857827294,-0.0134830617744282,-0.01607797749382686,-0.01738449919276158,-0.013064966666749394,-0.020335338994621414,-0.013175159289857201,-0.011751930370748525,-0.011452779899780325,-0.01012149666665502,-0.008584378065173771,-0.014719310807096476
[6.5-7.0),,,,,,,,,,-0.0027474660467063593,-0.005835323640359884,-0.011894603495950354,-0.01176794261643217,-0.010559472527453404,-0.012995652725391297,-0.010140604902563022,-0.011974252484976322,-0.007102930613429722,-0.007224948526100714,-0.005945708140856756,-0.002726168714751637,-0.020282811426130965
[6.0-6.5),,,,,,,,,-0.001777192136910999,-0.0015236901739856634,-0.004164944112773283,-0.005585306380153813,-0.004234917602298734,-0.0029142092559392365,-0.004467482023746341,-0.0044918214723219585,-0.001550058415934606,-0.010480420228742595,-0.007338220697948141,-0.003102569038659077,-0.00713875794218274,-0.0017845170876996765
[5.5-6.0),,,,,,,,,-0.002747005748821881,-0.0011758461173056684,-0.0028605499042769454,-0.0013105830974425587,-0.00011037195007292607,-0.0013710017590455685,-0.003058123259668457,-0.0015009129740532546,-0.0016850479053104155,-0.003198932532262417,-0.0028998079083627686,-0.005476808409260119,-0.003020941891875039,-0.0029442412214478447
[5.0-5.5),,,,,,,,-1.2639048467912572e-05,-0.001650389387815724,-0.0003210949138235384,-0.0014075152133091841,-0.0015918848592749973,-0.0013866906953602211,-5.675029411913396e-05,-1.5216107579370352e-05,-0.0016629900786757016,5.4348661397147495e-05,-0.00023336648030737413,-0.00011151018914643068,-0.00021092086889722242,-0.0012451873794920515,-0.00019859659822979745
[4.5-5.0),,,,,,,,0.0001958379619582393,-0.0014701413079901602,-0.00015684921690838725,-0.0001811426558243084,0.0001386517577188206,-0.00016758158341166095,0.0001408914342505448,-0.00013327099370883365,-0.00013611670651717236,0.0001981144662587062,-0.00019493640832541587,-3.952399640289779e-06,0.00015411822221812662,-6.974579735290379e-05,-0.0013075448950625062
[4.0-4.5),,,,,,,-1.1250933305184585e-05,-6.298816750327153e-05,0.00019675633354368388,-4.3782695220454504e-05,-0.00024945043389059383,-0.0003659858404118928,3.657215977920348e-05,-0.0002438760078151092,0.00017686346089078743,4.8538054678028485e-05,0.0002271432579162705,-0.00013252049955634278,0.00019874137131529093,2.4607882627596834e-05,8.964089358860464e-05,-7.1107745619845014e-06
